2024-06-06 09:29:32,410 INFO    MainThread:533326 [wandb_setup.py:_flush():76] Current SDK version is 0.16.5
2024-06-06 09:29:32,411 INFO    MainThread:533326 [wandb_setup.py:_flush():76] Configure stats pid to 533326
2024-06-06 09:29:32,411 INFO    MainThread:533326 [wandb_setup.py:_flush():76] Loading settings from /home/admin1/.config/wandb/settings
2024-06-06 09:29:32,411 INFO    MainThread:533326 [wandb_setup.py:_flush():76] Loading settings from /home/admin1/5703-upload/5703/Transformer_VQA_no/wandb/settings
2024-06-06 09:29:32,411 INFO    MainThread:533326 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-06-06 09:29:32,411 INFO    MainThread:533326 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-06-06 09:29:32,411 INFO    MainThread:533326 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'run_vqa2.py', 'program_abspath': '/home/admin1/5703-upload/5703/Transformer_VQA_no/run_vqa2.py', 'program': '/home/admin1/5703-upload/5703/Transformer_VQA_no/run_vqa2.py'}
2024-06-06 09:29:32,411 INFO    MainThread:533326 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-06-06 09:29:32,411 INFO    MainThread:533326 [wandb_init.py:_log_setup():527] Logging user logs to /home/admin1/5703-upload/5703/Transformer_VQA_no/wandb/run-20240606_092932-c2az7uzs/logs/debug.log
2024-06-06 09:29:32,411 INFO    MainThread:533326 [wandb_init.py:_log_setup():528] Logging internal logs to /home/admin1/5703-upload/5703/Transformer_VQA_no/wandb/run-20240606_092932-c2az7uzs/logs/debug-internal.log
2024-06-06 09:29:32,411 INFO    MainThread:533326 [wandb_init.py:init():567] calling init triggers
2024-06-06 09:29:32,411 INFO    MainThread:533326 [wandb_init.py:init():574] wandb.init called with sweep_config: {}
config: {'config': 'config'}
2024-06-06 09:29:32,411 INFO    MainThread:533326 [wandb_init.py:init():617] starting backend
2024-06-06 09:29:32,411 INFO    MainThread:533326 [wandb_init.py:init():621] setting up manager
2024-06-06 09:29:32,413 INFO    MainThread:533326 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-06-06 09:29:32,415 INFO    MainThread:533326 [wandb_init.py:init():629] backend started and connected
2024-06-06 09:29:32,419 INFO    MainThread:533326 [wandb_init.py:init():721] updated telemetry
2024-06-06 09:29:32,420 INFO    MainThread:533326 [wandb_init.py:init():754] communicating run to backend with 90.0 second timeout
2024-06-06 09:29:33,426 INFO    MainThread:533326 [wandb_run.py:_on_init():2344] communicating current version
2024-06-06 09:29:38,430 INFO    MainThread:533326 [wandb_run.py:_on_init():2353] got version response 
2024-06-06 09:29:38,430 INFO    MainThread:533326 [wandb_init.py:init():805] starting run threads in backend
2024-06-06 09:29:41,216 INFO    MainThread:533326 [wandb_run.py:_console_start():2323] atexit reg
2024-06-06 09:29:41,216 INFO    MainThread:533326 [wandb_run.py:_redirect():2178] redirect: wrap_raw
2024-06-06 09:29:41,217 INFO    MainThread:533326 [wandb_run.py:_redirect():2243] Wrapping output streams.
2024-06-06 09:29:41,217 INFO    MainThread:533326 [wandb_run.py:_redirect():2268] Redirects installed.
2024-06-06 09:29:41,218 INFO    MainThread:533326 [wandb_init.py:init():848] run started, returning control to user process
2024-06-06 09:36:21,897 WARNING MsgRouterThr:533326 [router.py:message_loop():77] message_loop has been closed
